URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/6052,6052,ImmuneEnz,Advanced Formula,7 07636 10157 5,60 Vegetarian Capsule(s),1 Vegetarian Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-03-23,Off Market,Recommended Usage: One (1) capsule two to three times per day on an empty stomach (a minimum of one hour prior to a meal and two hours after a meal); or more may be taken as indicated by your doctor. Take with adequate liquid.
https://dsld.od.nih.gov/label/6053,6053,Astragalus Root Extract,Vital Nutrients,6 93465 20111 4,90 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-03-23,Off Market,Recommendations1 to 2 capsules 2 or 3 times daily or as directed by your healthcare professional.
https://dsld.od.nih.gov/label/6054,6054,Hyaluronic Acid With MSM,Vitabase,,60 Vcap(s)(R),2 Vegetarian Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-03-23,On Market,Suggested Use: As a dietary supplement; take 2 Vcaps(R) 1-2 times daily; preferably with meals.
https://dsld.od.nih.gov/label/6055,6055,InflammEnz,Advanced Formula,7 07636 10163 6,60 Vegetarian Capsule(s),1 Vegetarian Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-03-23,Off Market,Recommended Usage: One (1) capsule three times per day on an empty stomach (a minimum of one hour prior to a meal and two hours after a meal) or more may be taken as indicated by your doctor. Take with adequate liquid.
https://dsld.od.nih.gov/label/6056,6056,Pancreatin & Ox Bile Extract,Vital Nutrients,6 93465 43611 0,60 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-03-23,Off Market,Recommendations: 1 or 2 capsules after a meal; or as directed by your healthcare professional.
https://dsld.od.nih.gov/label/6057,6057,Natural Beta Carotene 25000 IU,Vital Nutrients,6 93465 40311 2,90 Sofgel Capsule(s),1 Capsule(s),Vitamin [A1302],Softgel Capsule [E0161],2012-03-23,Off Market,Recommendations: 1 or 2 capsules 1 to 2 times daily or as directed by your healthcare professional.
https://dsld.od.nih.gov/label/6058,6058,Prenatal Multi Vitamin Supplement,Build Nutrition,,60 Capsule(s),1 Capsule(s),Multi-Vitamin and Mineral (MVM) [A1315],Capsule [E0159],2012-02-23,Off Market,Suggested Use: Take 1 tablet daily with a meal.
https://dsld.od.nih.gov/label/6059,6059,Maximum Strength Lipozene,Obesity Research Institute,,2 Bottle(s); 60 Capsule(s),2 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,On Market,Recommendation for Use: As a dietary supplement for maximum results take 2 capsules 30 minutes before meals up to three times per day with at least 8 oz of water.
https://dsld.od.nih.gov/label/6060,6060,Total Body Purifier,Cellular Research Formulas,,1 Bottle(s); 60 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2012-02-23,On Market,DIRECTIONS - Total Body Purifier(R) (Adult) Take one (1) tablet with breakfast and a full glass of water and one (1) with dinner and a full glass of water.
https://dsld.od.nih.gov/label/6061,6061,Green Tea Fat Burner,Cellular Research Formulas,,,1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2012-02-23,On Market,Directions: (Adult) As an addition to your reduced calorie diet and exercise; take two (2) Liquid Soft-Gels in the morning and one (1) or two (2) Liquid Soft-Gels in the afternoon with meals with a full glass of water. If caffeine keeps you up at night do not take this product in the evening since it contains caffeine.
