URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/41694,41694,Nails & Hair,Higher Nature,5 031013 103728,120 Capsule(s),4 Capsule(s),Other Combinations [A1325],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 4 capsules a day; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41695,41695,Whey HD Vanilla Caramel,BPI Sports,8 11213 02149 8,4.5 lbs; 2040 Gram(s),37 Gram(s) [1 scoop],Other Combinations [A1325],Powder [E0162],2015-01-23,Off Market,WAYS TO MIXSHAKER ADD 1 SCOOP TO YOUR SHAKER. CLOSE AND SHAKE FOR 30 SECONDS. BLENDER ADD 1 SCOOP TO BLENDER. BLEND FOR 20 SECONDS; ADD ICE AND BLEND FOR 20 EXTRA SECONDS. STIR ADD 1 SCOOP TO LARGE GLASS. STIR FOR 20-30 SECONDS OR UNTIL THE POWDER IS COMPLETELY DISSOLVED. MIX 1 SCOOP IN 5 TO 6oz OF COLD WATER IMMEDIATELY AFTER WORKOUT Please read entire label before use.SUGGESTED USE: Mix thoroughly in 5 to 6 ounces of ice cold water and drink immediately after workout or strenuous activity. May also be taken anytime to promote recovery and help build strong muscles.* For optimal results; use in conjunction with a proper diet and always consult with a physician prior to beginning a training regimen.
https://dsld.od.nih.gov/label/41696,41696,Oregano Oil 50 mg,Higher Nature,5 031013 105838,30 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1 capsule 3 times a day (children 6-15 years; take 1 capsule a day); with meals; building gradually; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41697,41697,Oregano Oil 50 mg,Higher Nature,5 031013 105838,30 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2015-01-23,On Market,DIRECTIONS: Take 1 capsule 3 times a day (children 6-15 years; take 1 capsule a day); with meals; building gradually; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41698,41698,AHCC Rx,Quality Of Life,8 12259 00339 4,60 Softgel(s); 300 mg,2 Softgel(s),Non-Nutrient/Non-Botanical [A1309],Softgel Capsule [E0161],2015-01-23,Off Market,SUGGESTED USE: 2–6 softgels daily before meals.
https://dsld.od.nih.gov/label/41699,41699,Kinoko To-Go AHCC Natural Strawberry Flavor,Quality Of Life,8 12259 00333 2,7 Powder Packet(s),1 Packet(s),Other Combinations [A1325],Powder [E0162],2015-01-23,On Market,SUGGESTED USE: dissolve 1 packet in 8 oz. of hot or cold water; 2x daily before meals.
https://dsld.od.nih.gov/label/41700,41700,Oregano Oil 50 mg,Higher Nature,5 031013 105845,90 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1 capsule 3 times a day (children 6-15 years; take 1 capsule a day); with meals; building gradually; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41701,41701,Oregano Oil 50 mg,Higher Nature,5 031013 105845,90 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1 capsule 3 times a day (children 6-15 years; take 1 capsule a day); with meals; building gradually; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41702,41702,Super Osteofood,Higher Nature,5 031013 104312,90 Tablet(s),3 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2015-01-23,Off Market,DIRECTIONS: Take 3 tablets a day; with meals; or as your health professional advises. Do not exceed recommended daily intake. A daily multivitamin is also recommended.
https://dsld.od.nih.gov/label/41703,41703,Super Osteofood,Higher Nature,5 031013 104312,90 Tablet(s),3 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2015-01-23,Off Market,DIRECTIONS: Take 3 tablets a day; with meals; or as your health professional advises. Do not exceed recommended daily intake. A daily multivitamin is also recommended.
https://dsld.od.nih.gov/label/41704,41704,Vitamins D3 & K2 Liposomal Spray,Protocol For Life Balance,7 07359 10381 8,2 fl. Oz.; 60 mL,1.5 mL [2 sprays],Vitamin [A1302],Liquid [E0165],2015-01-23,Off Market,SUGGESTED USAGE: Shake well before use. As a dietary supplement; spray 2 times under tongue; hold for 20 seconds and then swallow. Consume 1 to 2 times daily; or as directed by your healthcare practitioner. Best when taken with a fat-containing meal.
https://dsld.od.nih.gov/label/41705,41705,Probio-Gest,Higher Nature,5 031013 100512,30 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1-2 capsules (children over 8 years; 1 capsule) a day with water 30 mins before or 2hrs after meals; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41706,41706,Metabolic Balance,Higher Nature,5 031013 103483,90 Capsule(s),1 Capsule(s),Botanical with Nutrients [A1317],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1 capsule 3 times a day; with meals; or as your health professional advises. Do not exceed recommended daily intake.
https://dsld.od.nih.gov/label/41707,41707,Metabolic Balance,Higher Nature,5 031013 103483,90 Capsule(s),1 Capsule(s),Botanical with Nutrients [A1317],Capsule [E0159],2015-01-23,Off Market,DIRECTIONS: Take 1 capsule 3 times a day; with meals; or as your health professional advises. Do not exceed recommended daily intake.
